"","source"
"I37","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I38","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I39","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I40","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I41","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I42","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I43","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I44","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I45","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I46","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I47","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I48","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I49","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I50","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I51","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I52","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I53","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I54","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I55","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I56","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I57","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I58","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I59","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I60","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I61","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I62","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I63","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I64","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I65","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I66","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I67","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I68","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I69","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I70","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I71","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I72","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I73","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I74","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I75","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I76","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I77","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I78","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I79","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I80","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I81","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I82","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I83","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I84","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I85","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I86","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I87","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I88","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I89","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I90","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I91","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I92","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I93","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I94","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I95","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I96","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I97","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I98","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I99","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I100","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I101","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I102","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I103","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I104","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I105","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I106","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I107","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I108","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I109","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I110","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I111","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I112","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I113","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I114","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I115","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I116","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I117","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I118","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I119","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I120","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I121","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I122","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I123","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I124","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I125","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I126","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I127","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I128","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I129","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I130","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I131","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I132","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I133","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I134","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I135","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I136","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I137","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I138","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I139","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I140","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I141","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I142","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I143","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I144","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I145","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I146","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I147","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I148","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I149","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I150","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I151","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I152","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I153","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I154","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I155","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I156","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I157","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I158","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I159","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I160","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I161","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I162","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I163","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I164","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I165","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I166","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I167","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I168","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I169","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I170","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I171","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I172","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I173","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I174","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I175","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I176","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I177","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I178","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I179","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I180","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
